filename,ipc_v1,instructions_v1,cycles_v1,llc_mshr_merging_v1,whole_llc_mshr_hit_diff_cpu_id_v1,Base_line_stalls,ipc_v2,Static_partition_stalls,cycles_v2,llc_mshr_merging_v2,whole_llc_mshr_hit_diff_cpu_id_v2,llc_mshr_full_stall_v2,ipc_v3,instructions_v3,cycles_v3,llc_mshr_merging_v3,whole_llc_mshr_hit_diff_cpu_id_v3,llc_mshr_full_stall_v3
453.povray-252B.champsimtrace.xz453.povray-252B.champsimtrace.xz.txt,0.40032,10081177,25182555,19097,503,1616,,2119,0.237376121,,,,,,,,,
456.hmmer-327B.champsimtrace.xz456.hmmer-327B.champsimtrace.xz.txt,0.11312,10042280,88774478,245098,2,238,,240,0.008333333,,,,,,,,,
403.gcc-17B.champsimtrace.xz403.gcc-17B.champsimtrace.xz.txt,0.03656,10042088,274676898,735900,219,91,,310,0.706451613,,,,,,,,,
454.calculix-460B.champsimtrace.xz454.calculix-460B.champsimtrace.xz.txt,0.15919,11104285,69753678,204040,59,679,,738,0.079945799,,,,,,,,,
605.mcf_s-1152B.champsimtrace.xz605.mcf_s-1152B.champsimtrace.xz.txt,0.01733,10010850,577530675,1645579,9,14,,23,0.391304348,,,,,,,,,
657.xz_s-3167B.champsimtrace.xz657.xz_s-3167B.champsimtrace.xz.txt,0.212,10193518,48082392,135525,231,635,,866,0.266743649,,,,,,,,,
607.cactuBSSN_s-4248B.champsimtrace.xz607.cactuBSSN_s-4248B.champsimtrace.xz.txt,0.34031,10006064,29402546,81002,14,167,,181,0.077348066,,,,,,,,,
435.gromacs-228B.champsimtrace.xz435.gromacs-228B.champsimtrace.xz.txt,1.08059,10115893,9361457,48402,13,3106,,3119,0.004168003,,,,,,,,,
437.leslie3d-134B.champsimtrace.xz437.leslie3d-134B.champsimtrace.xz.txt,0.08117,10061271,123954735,349610,70,1979,,2049,0.034163006,,,,,,,,,
434.zeusmp-10B.champsimtrace.xz434.zeusmp-10B.champsimtrace.xz.txt,0.12307,10088302,81973255,234370,165,441,,606,0.272277228,,,,,,,,,
447.dealII-3B.champsimtrace.xz447.dealII-3B.champsimtrace.xz.txt,0.39485,10094826,25566320,28056,131,10733,,10864,0.012058174,,,,,,,,,
403.gcc-16B.champsimtrace.xz403.gcc-16B.champsimtrace.xz.txt,1.01179,10736384,10611261,21271,129,290,,419,0.307875895,,,,,,,,,
619.lbm_s-4268B.champsimtrace.xz619.lbm_s-4268B.champsimtrace.xz.txt,0.02659,10060094,378325157,1041503,5,1882,,1887,0.002649709,,,,,,,,,
458.sjeng-283B.champsimtrace.xz458.sjeng-283B.champsimtrace.xz.txt,0.50167,10049545,20032221,38251,77,180,,257,0.299610895,,,,,,,,,
410.bwaves-2097B.champsimtrace.xz410.bwaves-2097B.champsimtrace.xz.txt,0.01749,10061842,575130155,1582137,30,336,,366,0.081967213,,,,,,,,,
433.milc-274B.champsimtrace.xz433.milc-274B.champsimtrace.xz.txt,0.02495,10054783,402950849,1030807,22,291,,313,0.07028754,,,,,,,,,
435.gromacs-226B.champsimtrace.xz435.gromacs-226B.champsimtrace.xz.txt,1.12139,10151998,9053024,48398,18,2499,,2517,0.007151371,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.168218351,,,,,,,,,
