filename,ipc_v1,instructions_v1,cycles_v1,,Base_line_stall,Base_line_stall,ipc_v2,Static_partition_stall,cycles_v2,llc_mshr_merging_v2,whole_llc_mshr_hit_diff_cpu_id_v2,llc_mshr_full_stall_v2,ipc_v3,instructions_v3,cycles_v3,llc_mshr_merging_v3,whole_llc_mshr_hit_diff_cpu_id_v3,llc_mshr_full_stall_v3
453.povray-252B.champsimtrace.xz453.povray-252B.champsimtrace.xz.txt,0.40032,10081177,25182555,19097,166,35,,201,,,,,,,,,,
456.hmmer-327B.champsimtrace.xz456.hmmer-327B.champsimtrace.xz.txt,0.11312,10042280,88774478,245098,2,70,,72,,,,,,,,,,
403.gcc-17B.champsimtrace.xz403.gcc-17B.champsimtrace.xz.txt,0.03656,10042088,274676898,735900,13,0,,13,,,,,,,,,,
454.calculix-460B.champsimtrace.xz454.calculix-460B.champsimtrace.xz.txt,0.15919,11104285,69753678,204040,22,243,,265,,,,,,,,,,
657.xz_s-3167B.champsimtrace.xz657.xz_s-3167B.champsimtrace.xz.txt,0.212,10193518,48082392,135525,70,104,,174,,,,,,,,,,
607.cactuBSSN_s-4248B.champsimtrace.xz607.cactuBSSN_s-4248B.champsimtrace.xz.txt,0.34031,10006064,29402546,81002,8,0,,8,,,,,,,,,,
445.gobmk-30B.champsimtrace.xz445.gobmk-30B.champsimtrace.xz.txt,0.23414,10036376,42864765,76458,229,0,,229,,,,,,,,,,
437.leslie3d-134B.champsimtrace.xz437.leslie3d-134B.champsimtrace.xz.txt,0.08117,10061271,123954735,349610,67,1021,,1088,,,,,,,,,,
444.namd-33B.champsimtrace.xz444.namd-33B.champsimtrace.xz.txt,0.95009,10512023,11064198,26099,62,1126,,1188,,,,,,,,,,
434.zeusmp-10B.champsimtrace.xz434.zeusmp-10B.champsimtrace.xz.txt,0.12307,10088302,81973255,234370,61,273,,334,,,,,,,,,,
447.dealII-3B.champsimtrace.xz447.dealII-3B.champsimtrace.xz.txt,0.39485,10094826,25566320,28056,34,0,,34,,,,,,,,,,
403.gcc-16B.champsimtrace.xz403.gcc-16B.champsimtrace.xz.txt,1.01179,10736384,10611261,21271,27,0,,27,,,,,,,,,,
619.lbm_s-4268B.champsimtrace.xz619.lbm_s-4268B.champsimtrace.xz.txt,0.02659,10060094,378325157,1041503,35,769,,804,,,,,,,,,,
458.sjeng-283B.champsimtrace.xz458.sjeng-283B.champsimtrace.xz.txt,0.50167,10049545,20032221,38251,27,14,,41,,,,,,,,,,
410.bwaves-2097B.champsimtrace.xz410.bwaves-2097B.champsimtrace.xz.txt,0.01749,10061842,575130155,1582137,21,62,,83,,,,,,,,,,
433.milc-274B.champsimtrace.xz433.milc-274B.champsimtrace.xz.txt,0.02495,10054783,402950849,1030807,13,14,,27,,,,,,,,,,
435.gromacs-226B.champsimtrace.xz435.gromacs-226B.champsimtrace.xz.txt,1.12139,10151998,9053024,48398,44,784,,828,,,,,,,,,,
