  ,ipc_v1,instructions_v1,cycles_v1,llc_mshr_merging_v1,whole_llc_mshr_hit_diff_cpu_id_v1,Base_line_stalls,ipc_v2,Static_partition_stall,cycles_v2,llc_mshr_merging_v2,whole_llc_mshr_hit_diff_cpu_id_v2,llc_mshr_full_stall_v2,ipc_v3,instructions_v3,cycles_v3,llc_mshr_merging_v3,whole_llc_mshr_hit_diff_cpu_id_v3,llc_mshr_full_stall_v3
456.hmmer-327B.champsimtrace.xz456.hmmer-327B.champsimtrace.xz.txt,0.11312,10042280,88774478,245098,2,238,,240,,,,0.008333333,,,,,,
454.calculix-460B.champsimtrace.xz454.calculix-460B.champsimtrace.xz.txt,0.15919,11104285,69753678,204040,59,679,,738,,,,0.079945799,,,,,,
657.xz_s-3167B.champsimtrace.xz657.xz_s-3167B.champsimtrace.xz.txt,0.212,10193518,48082392,135525,231,635,,866,,,,0.266743649,,,,,,
605.mcf_s-1554B.champsimtrace.xz605.mcf_s-1554B.champsimtrace.xz.txt,0.09551,365418795,3825872652,9760792,25,14,,39,,,,0.641025641,,,,,,
435.gromacs-228B.champsimtrace.xz435.gromacs-228B.champsimtrace.xz.txt,1.08059,10115893,9361457,48402,13,3106,,3119,,,,0.004168003,,,,,,
437.leslie3d-134B.champsimtrace.xz437.leslie3d-134B.champsimtrace.xz.txt,0.08117,10061271,123954735,349610,70,1979,,2049,,,,0.034163006,,,,,,
434.zeusmp-10B.champsimtrace.xz434.zeusmp-10B.champsimtrace.xz.txt,0.12307,10088302,81973255,234370,165,441,,606,,,,0.272277228,,,,,,
447.dealII-3B.champsimtrace.xz447.dealII-3B.champsimtrace.xz.txt,0.39485,10094826,25566320,28056,131,10733,,10864,,,,0.012058174,,,,,,
459.GemsFDTD-1211B.champsimtrace.xz459.GemsFDTD-1211B.champsimtrace.xz.txt,0.03073,10174611,331146589,656929,38,2043,,2081,,,,0.018260452,,,,,,
619.lbm_s-4268B.champsimtrace.xz619.lbm_s-4268B.champsimtrace.xz.txt,0.02659,10060094,378325157,1041503,5,1882,,1887,,,,0.002649709,,,,,,
437.leslie3d-271B.champsimtrace.xz437.leslie3d-271B.champsimtrace.xz.txt,0.12742,10006345,78528180,216072,1,196,,197,,,,0.005076142,,,,,,
410.bwaves-2097B.champsimtrace.xz410.bwaves-2097B.champsimtrace.xz.txt,0.01749,10061842,575130155,1582137,30,336,,366,,,,0.081967213,,,,,,
435.gromacs-226B.champsimtrace.xz435.gromacs-226B.champsimtrace.xz.txt,1.12139,10151998,9053024,48398,18,2499,,2517,,,,0.007151371,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.17620371,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.110293825,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.110293825,,,,,,
