filename,ipc_v1,instructions_v1,cycles_v1,llc_mshr_merging_v1,ipc_v2,instructions_v2,cycles_v2,llc_mshr_merging_v2,ipc_v3,instructions_v3,cycles_v3,llc_mshr_merging_v3
458.sjeng-283B.champsimtrace.xz458.sjeng-283B.champsimtrace.xz.txt,0.52716,10000608,18970859,0,0.52716,10000608,18970859,10058,,,,
465.tonto-44B.champsimtrace.xz465.tonto-44B.champsimtrace.xz.txt,0.55308,10003420,18086874,0,0.55308,10003420,18086874,14566,0.55308,10003420,18086874,14566
462.libquantum-714B.champsimtrace.xz462.libquantum-714B.champsimtrace.xz.txt,0.03832,10000048,260994376,0,0.03832,10000048,260994376,571819,0.03832,10000048,260994376,571819
403.gcc-17B.champsimtrace.xz403.gcc-17B.champsimtrace.xz.txt,0.13998,10000002,71437453,0,0.13998,10000002,71437453,183347,0.13998,10000002,71437453,183347
437.leslie3d-271B.champsimtrace.xz437.leslie3d-271B.champsimtrace.xz.txt,0.21016,10010205,47632238,0,0.21016,10010205,47632238,108003,0.21016,10010205,47632238,108003
644.nab_s-9322B.champsimtrace.xz644.nab_s-9322B.champsimtrace.xz.txt,0.60938,10000756,16411362,0,0.60938,10000756,16411362,19259,0.60938,10000756,16411362,19259
435.gromacs-228B.champsimtrace.xz435.gromacs-228B.champsimtrace.xz.txt,1.62743,10000725,6145092,0,1.62743,10000725,6145092,12080,1.62743,10000725,6145092,12080
453.povray-252B.champsimtrace.xz453.povray-252B.champsimtrace.xz.txt,0.4026,10000412,24839530,0,0.4026,10000412,24839530,4796,0.4026,10000412,24839530,4796
607.cactuBSSN_s-4004B.champsimtrace.xz607.cactuBSSN_s-4004B.champsimtrace.xz.txt,0.37766,10008019,26499831,0,0.37766,10008019,26499831,69332,0.37766,10008019,26499831,69332
447.dealII-3B.champsimtrace.xz447.dealII-3B.champsimtrace.xz.txt,0.40833,10001579,24493866,0,0.40833,10001579,24493866,7024,0.40833,10001579,24493866,7024
444.namd-33B.champsimtrace.xz444.namd-33B.champsimtrace.xz.txt,1.26026,10002176,7936587,0,1.26026,10002176,7936587,6524,1.26026,10002176,7936587,6524
445.gobmk-30B.champsimtrace.xz445.gobmk-30B.champsimtrace.xz.txt,0.32506,10000002,30763583,0,0.32506,10000002,30763583,19498,0.32506,10000002,30763583,19498
605.mcf_s-1152B.champsimtrace.xz605.mcf_s-1152B.champsimtrace.xz.txt,0.06173,10001548,162012336,0,0.06173,10001548,162012336,408583,0.06173,10001548,162012336,408583
605.mcf_s-1554B.champsimtrace.xz605.mcf_s-1554B.champsimtrace.xz.txt,0.00915,10000000,1092696106,0,0.00915,10000000,1092696106,2507901,0.00915,10000000,1092696106,2507901
401.bzip2-277B.champsimtrace.xz401.bzip2-277B.champsimtrace.xz.txt,0.22522,10000000,44401095,0,0.22522,10000000,44401095,135879,0.22522,10000000,44401095,135879
607.cactuBSSN_s-4248B.champsimtrace.xz607.cactuBSSN_s-4248B.champsimtrace.xz.txt,1.34221,10000583,7450821,0,1.34221,10000583,7450821,20246,1.34221,10000583,7450821,20246
657.xz_s-3167B.champsimtrace.xz657.xz_s-3167B.champsimtrace.xz.txt,0.54169,10004808,18469466,0,0.54169,10004808,18469466,36481,0.54169,10004808,18469466,36481
429.mcf-192B.champsimtrace.xz429.mcf-192B.champsimtrace.xz.txt,0.01715,10003661,583297962,0,0.01715,10003661,583297962,1614144,0.01715,10003661,583297962,1614144
400.perlbench-41B.champsimtrace.xz400.perlbench-41B.champsimtrace.xz.txt,0.22962,10000000,43550482,0,0.22962,10000000,43550482,62529,0.22962,10000000,43550482,62529
482.sphinx3-1522B.champsimtrace.xz482.sphinx3-1522B.champsimtrace.xz.txt,0.10133,10000002,98685987,0,0.10133,10000002,98685987,256049,0.10133,10000002,98685987,256049
403.gcc-16B.champsimtrace.xz403.gcc-16B.champsimtrace.xz.txt,1.01531,10000000,9849238,0,1.01531,10000000,9849238,26998,1.01531,10000000,9849238,26998
444.namd-426B.champsimtrace.xz444.namd-426B.champsimtrace.xz.txt,1.08613,10001271,9208158,0,1.08613,10001271,9208158,10002,1.08613,10001271,9208158,10002
464.h264ref-57B.champsimtrace.xz464.h264ref-57B.champsimtrace.xz.txt,0.55325,10000663,18076347,0,0.55325,10000663,18076347,32947,0.55325,10000663,18076347,32947
456.hmmer-327B.champsimtrace.xz456.hmmer-327B.champsimtrace.xz.txt,0.461,10001288,21694887,0,0.461,10001288,21694887,61112,0.461,10001288,21694887,61112
454.calculix-460B.champsimtrace.xz454.calculix-460B.champsimtrace.xz.txt,0.50251,10077218,20053607,0,0.50251,10077218,20053607,50729,0.50251,10077218,20053607,50729
459.GemsFDTD-1211B.champsimtrace.xz459.GemsFDTD-1211B.champsimtrace.xz.txt,0.12175,10000002,82137987,0,0.12175,10000002,82137987,162532,0.12175,10000002,82137987,162532
433.milc-274B.champsimtrace.xz433.milc-274B.champsimtrace.xz.txt,0.09969,10000001,100310398,0,0.09969,10000001,100310398,257206,0.09969,10000001,100310398,257206
434.zeusmp-10B.champsimtrace.xz434.zeusmp-10B.champsimtrace.xz.txt,0.47069,10000002,21245507,0,0.47069,10000002,21245507,58422,0.47069,10000002,21245507,58422
437.leslie3d-134B.champsimtrace.xz437.leslie3d-134B.champsimtrace.xz.txt,0.31867,10000003,31380445,0,0.31867,10000003,31380445,86961,0.31867,10000003,31380445,86961
410.bwaves-2097B.champsimtrace.xz410.bwaves-2097B.champsimtrace.xz.txt,0.06643,10000000,150537224,0,0.06643,10000000,150537224,404170,0.06643,10000000,150537224,404170
436.cactusADM-1804B.champsimtrace.xz436.cactusADM-1804B.champsimtrace.xz.txt,0.28682,10000000,34865437,0,0.28682,10000000,34865437,72944,0.28682,10000000,34865437,72944
462.libquantum-1343B.champsimtrace.xz462.libquantum-1343B.champsimtrace.xz.txt,0.04906,10001798,203848150,0,0.04906,10001798,203848150,497043,0.04906,10001798,203848150,497043
619.lbm_s-4268B.champsimtrace.xz619.lbm_s-4268B.champsimtrace.xz.txt,0.0151,10007933,662668861,0,0.0151,10007933,662668861,1037780,0.0151,10007933,662668861,1037780
602.gcc_s-2226B.champsimtrace.xz602.gcc_s-2226B.champsimtrace.xz.txt,0.01797,10002686,556756677,0,0.01797,10002686,556756677,1529957,0.01797,10002686,556756677,1529957
435.gromacs-226B.champsimtrace.xz435.gromacs-226B.champsimtrace.xz.txt,1.64152,10001423,6092799,0,1.64152,10001423,6092799,12058,1.64152,10001423,6092799,12058
